"name","phone"
"Techions Software Labs Private Limited","0484 242 8655"
"B-Mates Technologies Pvt Ltd","092075 78887"
"Global Infonet Inc","0484 646 8880"
"Techrish Solutions","0484 407 0808"
"Zerone Consulting Pvt.Ltd.","Open ⋅ Closes 7PM"
"Profess Software Solutions Private Limited","0484 242 8643"
"Polymor Technologies","099951 05572"
"Aatoon Solutions","0484 404 4458"
"Imtell Technologies Pvt. Ltd.","098465 50222"
"Net Trans Infotech Pvt.Ltd.","Open 24 hours"
"Saasvaap Techies Private Limited","0484 401 1925"
"SOD Technologies Pvt Ltd","0484 403 1713"
"Inttelix Security Solutions Pvt.Ltd","0484 402 6222"
"Cognizant Technology Solutions","1800 208 6999"
"MariApps Marine Solutions Pvt. Ltd","0484 405 9601"
"MSI Soft","0484 406 1881"
"Nixminds Technologies","0484 400 0626"
"Sowbit Technologies","099462 80412"
"DreamWeaver Business Solutions and SMSMATE","094464 24934"
"WiSilica India Pvt Ltd, QA Center","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"Tavus Innovation Private Limited","0484 485 4009"
"Kefas Softwares Pvt Ltd","Open ⋅ Closes 8:30PM"
"Nanocraft Tech LLP","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9:30AM Wed"
"Saranga Geo Software and Engineering Services PVT LTD","0484 405 8835"
"Etisalat DB Telecom Pvt Ltd","0484 405 8835"
"Garden Info Systems","094470 52205"
"CLUSTER JOBZ","0484 210 9927"
"SayOne Technologies","072931 52324"
"Chillar Payment Solutions Pvt Ltd","099956 99899"
"IBS Software Private Limited","0471 661 4796"
"Orion India Systems Pvt. Ltd.","0484 663 3700"
"Klok Innovations","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9AM Wed"
"QWave Soft Systems India Pvt. Ltd.","0484 297 3977"
"Aspiris Technologies","Open ⋅ Closes 7PM"
"Skynats Technologies","0484 402 6269"
"Serville Technologies Pvt Ltd","086064 62277"
"Macrosive","0484 661 1458"
"TechTron Services","0484 237 9518"
"Skylytics Labs Private Limited","097873 71365"
"Heavenly Plaza 4th Floor","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"IT Bin Solutions","0484 238 8029"
"UST Global","0484 404 0000"
"MWT Technologies Pvt. Ltd.","0484 429 3000"
"Preatech Technologies","081053 94675"
"Deulect Technologies","080750 18618"
"Phases Innovations Private Limited","0484 297 5990"
"76 Degrees East Technologies","099950 08977"
"TripMaker Software - Travel Agency Software India","070254 47765"
"Wager Infotech","070254 47765"
"SBL","0484 424 9999"
"Litmus7 Systems Consulting Pvt Ltd.","090483 06717"
"Stohos Business Technologies","0484 606 4448"
"Entri HQ","094465 49626"
"Antonal","070348 88111"
"Dieutek Developments","094968 21365"
"SFO Technologies","0484 420 3333"
"Synapze","Open ⋅ Closes 9PM"
"EasySalePOS - ESPOS","090370 12303"
"Wipro Technologies","0484 305 4949"
"Kruxsoft Solutions Pvt. Ltd","0484 400 0677"
"Cognizant Technology Solutions","0484 392 1000"
"Xen.ai","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"Gadgeon Smart Systems Pvt Limited","0484 290 3000"
"Tranzmeo","0484 403 3744"
"MJ SOFTTECH INDIA PVT. LTD.","0484 242 1245"
"BLUECAST TECHNOLOGIES","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"Cascade Revenue Management Pvt. Ltd.","0484 699 2288 ext. 6992292"
"Neudesic Technologies Pvt.Ltd.","0484 420 4222"
"Wavesfront","0484 242 3723"
"Unidad Techno Labs (P) Ltd.","080860 77999"
"Tedsys Technologies Pvt. Ltd.","0484 298 3491"
"Coronata creations Pvt.Ltd.","081139 06162"
"BTC TECHNO LABS PRIVATE LIMITED","0484 485 0484"
"Nahum Technologies","080890 58131"
"A & S InfoTech Pvt Ltd","0484 242 9191"
"Redjet Technologies","097441 29432"
"Camino Infotech Kochi","096336 60296"
"Bomicare","088919 42078"
"Iware Solutions","098954 99989"
"Oroboro Global Pvt Ltd","0484 238 8065"
"WE DO - INDIA","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9:30AM Wed"
"Luziid Technologies","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9AM Wed"
"Inspirisys Solutions Limited ( Formerly Accel Frontline Ltd )","0484 334 3444"
"ZineMind Technologies","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"Camino Infotech","096336 60296"
"DataMonks","097460 24379"
"Dalligence","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9AM Fri"
"Spawoz: TYPO3 CMS, Laravel Development Company (India)","0484 403 0911"
"Fingent Technology Solutions Pvt. Ltd.","0484 405 5006"
"Cognizant Technology Solutions","1800 208 6999"
"MantraNet Solutions","094470 00031"
"Speridian Technologies","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"Spearmint Games","079024 16909"
"Lookings Soft Pvt Ltd - React Company","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"SayOne Technologies","0484 297 2324"
"Applexus Technologies Pvt. Ltd","0484 401 5285"
"VVDN Technologies Pvt Ltd.","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"Saffron Technologies","0484 401 0067"
"Campus7 - School Management Software","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"Revac Solutions","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9:30AM Wed"
"Vendfox Solutions","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9:30AM Wed"
"Borncode Technologies","Open ⋅ Closes 8PM"
"Wolkes9","0484 298 8444"
"iNFOX Technologies","0484 405 9655"
"VVDN Technologies Pvt Ltd","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"SectorQube","085899 35566"
"GrandReves Technologies","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"ProxNtelli Labs Pvt Ltd","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"Wevanto Solutions","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9AM Wed"
"Voxbay Solutions - IP PBX, Call Center, IVR Solutions","099468 69229"
"Merclain Technologies Pvt. Ltd.","088932 22250"
"Cabot Technology Solutions","0484 404 5555"
"Logiticks","Open ⋅ Closes 7PM"
"Iris Medical Solutions","0484 242 1309"
"Cloudium Software Pvt. Ltd.","099470 78800"
"Cubet Techno Labs","0484 405 4324"
"Litmus7 Systems Consulting Pvt Ltd","<span style=""color:#d93025"">Closed</span> ⋅ Opens 9AM Wed"
"Kinfra Administrative Office","0484 241 5796"
"SpiderWorks","094955 59690"
"CodExtreme - Digital Marketing seo company in Kochi","094474 60091"
"Brizotech Labs","070122 31538"
"Code CL","<span style=""color:#d93025"">Closed</span> ⋅ Opens 10AM Wed"
"BEO Software Pvt Ltd","0484 234 1197"
"Infocom Software","0484 441 1284"
"Zillion Info Solutions","098952 95838"
"HatchingWeb","<span style=""color:#e37400"">Closes soon</span> ⋅ 6:30PM"
"NeST Information Technologies","0484 670 1000"
"Viewway Solutions Private Limited","0484 670 1000"
"Oréll Technosystems (India) Pvt. Ltd.","0484 414 1000"
"Brizotech Labs","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"ROGERSOFT","099956 38376"
"J4web","0484 405 1365"
"WFB Baird & Company","0484 421 9100"
"MSD Pharmaceuticals Pvt Ltd","0484 297 0083"
"Veegaland Homes Kochi","097467 74444"
"Sunpaul Group of Companies","081118 70033"
"Allianze BPO International","0484 241 3071"
"Sterling And Wilson Limited","0484 257 6029"
"Webdura Technologies","0484 403 4499"
"Noel Villas and Apartments","0484 287 0800"
"Casadel Builders","080890 03003"
"Bava Realtors","0484 606 6633"
"SpyroSys","090729 73151"
"Inspirisys Solutions Limited","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"Digital Skill Master","081388 75600"
"CAT Entertainments","097479 55261"
"SFO Technologies Pvt. Ltd.","0484 661 4300"
"DBASE Solutions","<span style=""color:#e37400"">Closes soon</span> ⋅ 6PM"
"SmartCity Kochi","0484 668 9800"
"ABC Group of Companies","0484 242 2665"
"ABB India Limited","1800 420 0707"
"Tata Ceramics","0484 660 4105"
"Marymatha Infrastructure Pvt. Ltd. (Corporate Office)","0484 241 4300"
"FinLead International Services Private Limited","095394 13703"
"Traco Cable Company Limited","0484 278 0237"
"Desai Homes","0484 417 7888"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
"CII Guardian International Limited","0484 241 3031"
"Dynactionize India","0484 241 5217"
"Geo Infopark","0484 241 5226"
"World Trade Center Kochi","080890 99915"
"CSEZ Administrative Office","0484 241 3111"
"Hubbell India","0484 241 3111"
"Muthoot Technopolis","0484 236 6815"
